,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Name,BG_staticGird_StructuredLight_100_afterMirror,BG_staticGird_StructuredLight_100_offDome,BG_staticGird_StructuredLight_100_beforeMirror,BG_staticGird_StructuredLight_100_afterMirror,BG_staticGird_StructuredLight_100_offDome,BG_staticGird_StructuredLight_100_beforeMirror,BG_staticGird_StructuredLight_100_afterMirror,BG_staticGird_StructuredLight,RB_staticGird_StructuredLight,RG_staticGird_StructuredLight,B_staticGird_StructuredLight_100,G_staticGird_StructuredLight_100,BG_staticGird_StructuredLight_100_offDome,BG_staticGird_StructuredLight_100_beforeMirror,BG_staticGird_StructuredLight_100_afterMirror
Date,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014
Time,15:18pm,15:12pm,15:16pm,15:18pm,15:12pm,15:16pm,15:18pm,14:47pm,14:53pm,14:59pm,15:08pm,15:11pm,15:12pm,15:16pm,15:18pm
T_int [ms],6913,6515,24,6913,6515,24,6913,10293,16749,11365,8916,6340,6515,24,6913
394 nm,1.21525E-06,1.32763E-06,4.82691E-04,1.21525E-06,1.32763E-06,4.82691E-04,1.21525E-06,6.72408E-07,3.15730E-07,3.42175E-07,8.24202E-07,7.06754E-07,1.32763E-06,4.82691E-04,1.21525E-06
395 nm,4.94591E-07,8.32228E-07,4.28180E-04,4.94591E-07,8.32228E-07,4.28180E-04,4.94591E-07,6.13093E-07,4.95268E-07,1.55805E-07,7.40868E-07,1.04502E-06,8.32228E-07,4.28180E-04,4.94591E-07
396 nm,9.96662E-07,1.05161E-06,2.72275E-04,9.96662E-07,1.05161E-06,2.72275E-04,9.96662E-07,9.83562E-07,4.75761E-07,2.16172E-08,9.19116E-07,6.72163E-07,1.05161E-06,2.72275E-04,9.96662E-07
397 nm,5.23209E-07,8.56858E-07,2.79736E-04,5.23209E-07,8.56858E-07,2.79736E-04,5.23209E-07,5.53701E-07,2.17777E-07,2.79637E-07,4.31383E-07,6.68395E-08,8.56858E-07,2.79736E-04,5.23209E-07
398 nm,6.09318E-07,6.67363E-07,2.16848E-04,6.09318E-07,6.67363E-07,2.16848E-04,6.09318E-07,2.31703E-07,5.55832E-07,6.94443E-09,4.67514E-07,6.37311E-07,6.67363E-07,2.16848E-04,6.09318E-07
399 nm,1.11149E-06,6.88454E-07,2.15007E-04,1.11149E-06,6.88454E-07,2.15007E-04,1.11149E-06,7.45365E-07,2.16072E-07,7.02847E-08,3.57813E-07,3.38360E-07,6.88454E-07,2.15007E-04,1.11149E-06
400 nm,5.84442E-07,1.29655E-06,2.10834E-04,5.84442E-07,1.29655E-06,2.10834E-04,5.84442E-07,2.02770E-07,2.95759E-07,0.00000E+00,2.15831E-07,9.56288E-10,1.29655E-06,2.10834E-04,5.84442E-07
401 nm,1.42471E-07,4.61157E-07,2.08518E-04,1.42471E-07,4.61157E-07,2.08518E-04,1.42471E-07,2.28003E-07,4.09696E-07,9.72132E-08,0.00000E+00,2.19180E-07,4.61157E-07,2.08518E-04,1.42471E-07
402 nm,4.16582E-07,1.21608E-06,2.11532E-04,4.16582E-07,1.21608E-06,2.11532E-04,4.16582E-07,4.98348E-07,2.18515E-07,9.74565E-08,1.53355E-07,1.47159E-07,1.21608E-06,2.11532E-04,4.16582E-07
403 nm,8.14457E-07,7.39197E-07,1.84047E-04,8.14457E-07,7.39197E-07,1.84047E-04,8.14457E-07,3.89950E-07,3.63449E-07,6.10526E-08,6.55738E-07,6.24346E-07,7.39197E-07,1.84047E-04,8.14457E-07
