,,,,,,,,
,,,,,,,,
,,,,,,,,
Name,UVdome_video_eyepoint,UVdome_struct_eyepoint_BG,UVdome_struct_eyepoint_UV,UVdome_struct_eyepoint,UVdome_video_eyepoint,UVdome_struct_eyepoint_BG,UVdome_struct_eyepoint_UV,UVdome_struct_eyepoint
Date,10/30/2014,11/03/2014,11/03/2014,11/03/2014,10/30/2014,11/03/2014,11/03/2014,11/03/2014
Time,10:58am,08:49am,08:55am,09:02am,10:58am,08:49am,08:55am,09:02am
440 nm,2.05132E-05,6.60502E-05,3.75473E-07,6.85871E-05,2.05132E-05,6.60502E-05,3.75473E-07,6.85871E-05
441 nm,2.14815E-05,6.96652E-05,3.47779E-07,7.21036E-05,2.14815E-05,6.96652E-05,3.47779E-07,7.21036E-05
442 nm,2.26933E-05,7.33514E-05,1.97736E-07,7.40253E-05,2.26933E-05,7.33514E-05,1.97736E-07,7.40253E-05
443 nm,2.32493E-05,7.45973E-05,7.09158E-08,7.70571E-05,2.32493E-05,7.45973E-05,7.09158E-08,7.70571E-05
444 nm,2.39576E-05,7.74637E-05,4.39210E-07,7.83183E-05,2.39576E-05,7.74637E-05,4.39210E-07,7.83183E-05
445 nm,2.38572E-05,7.77449E-05,6.58054E-07,8.00569E-05,2.38572E-05,7.77449E-05,6.58054E-07,8.00569E-05
446 nm,2.36803E-05,7.80849E-05,4.03118E-07,7.88738E-05,2.36803E-05,7.80849E-05,4.03118E-07,7.88738E-05
447 nm,2.31302E-05,7.66203E-05,1.71501E-07,7.81917E-05,2.31302E-05,7.66203E-05,1.71501E-07,7.81917E-05
448 nm,2.23602E-05,7.34694E-05,6.17398E-07,7.47006E-05,2.23602E-05,7.34694E-05,6.17398E-07,7.47006E-05
449 nm,2.10540E-05,7.06108E-05,4.31226E-07,7.15996E-05,2.10540E-05,7.06108E-05,4.31226E-07,7.15996E-05
450 nm,1.99380E-05,6.65016E-05,5.91698E-07,6.72173E-05,1.99380E-05,6.65016E-05,5.91698E-07,6.72173E-05
451 nm,1.82039E-05,6.21951E-05,4.45770E-07,6.34620E-05,1.82039E-05,6.21951E-05,4.45770E-07,6.34620E-05
452 nm,1.72600E-05,5.80335E-05,0.00000E+00,5.86053E-05,1.72600E-05,5.80335E-05,0.00000E+00,5.86053E-05
453 nm,1.54412E-05,5.33656E-05,5.16753E-07,5.41714E-05,1.54412E-05,5.33656E-05,5.16753E-07,5.41714E-05
454 nm,1.39273E-05,4.80679E-05,3.76612E-07,4.86249E-05,1.39273E-05,4.80679E-05,3.76612E-07,4.86249E-05
455 nm,1.25746E-05,4.41947E-05,1.86086E-07,4.42931E-05,1.25746E-05,4.41947E-05,1.86086E-07,4.42931E-05
456 nm,1.13490E-05,4.07480E-05,2.78936E-07,4.07221E-05,1.13490E-05,4.07480E-05,2.78936E-07,4.07221E-05
457 nm,1.05929E-05,3.67638E-05,2.08752E-07,3.68566E-05,1.05929E-05,3.67638E-05,2.08752E-07,3.68566E-05
458 nm,1.00044E-05,3.42268E-05,6.55287E-07,3.35884E-05,1.00044E-05,3.42268E-05,6.55287E-07,3.35884E-05
459 nm,8.84918E-06,3.09604E-05,3.08233E-07,3.16463E-05,8.84918E-06,3.09604E-05,3.08233E-07,3.16463E-05
460 nm,8.06388E-06,2.86156E-05,5.45021E-07,2.82056E-05,8.06388E-06,2.86156E-05,5.45021E-07,2.82056E-05
461 nm,7.66072E-06,2.65800E-05,9.39395E-07,2.63949E-05,7.66072E-06,2.65800E-05,9.39395E-07,2.63949E-05
462 nm,7.07298E-06,2.41099E-05,6.59613E-07,2.44904E-05,7.07298E-06,2.41099E-05,6.59613E-07,2.44904E-05
463 nm,6.70974E-06,2.27315E-05,6.80280E-07,2.29832E-05,6.70974E-06,2.27315E-05,6.80280E-07,2.29832E-05
464 nm,6.20033E-06,2.13671E-05,4.10104E-07,2.11815E-05,6.20033E-06,2.13671E-05,4.10104E-07,2.11815E-05
465 nm,5.66036E-06,1.92670E-05,6.69015E-07,1.96122E-05,5.66036E-06,1.92670E-05,6.69015E-07,1.96122E-05
466 nm,5.21042E-06,1.82294E-05,4.43103E-07,1.81136E-05,5.21042E-06,1.82294E-05,4.43103E-07,1.81136E-05
467 nm,5.21609E-06,1.70650E-05,1.14159E-06,1.76516E-05,5.21609E-06,1.70650E-05,1.14159E-06,1.76516E-05
468 nm,4.54454E-06,1.57037E-05,1.08731E-06,1.60195E-05,4.54454E-06,1.57037E-05,1.08731E-06,1.60195E-05
469 nm,4.26877E-06,1.47770E-05,8.59653E-07,1.41829E-05,4.26877E-06,1.47770E-05,8.59653E-07,1.41829E-05
470 nm,3.72317E-06,1.33754E-05,8.97045E-07,1.32891E-05,3.72317E-06,1.33754E-05,8.97045E-07,1.32891E-05
471 nm,3.73701E-06,1.24550E-05,7.88174E-07,1.25963E-05,3.73701E-06,1.24550E-05,7.88174E-07,1.25963E-05
472 nm,3.39118E-06,1.24335E-05,3.13364E-07,1.20605E-05,3.39118E-06,1.24335E-05,3.13364E-07,1.20605E-05
473 nm,3.14831E-06,1.12024E-05,6.81425E-07,1.11208E-05,3.14831E-06,1.12024E-05,6.81425E-07,1.11208E-05
474 nm,3.16818E-06,1.06528E-05,9.33640E-07,1.08555E-05,3.16818E-06,1.06528E-05,9.33640E-07,1.08555E-05
