,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Name,video_G_max,video_UV_max,structuredlight_G_100,structuredlight_G_40,structuredlight_UV_100,structuredlight_UV_33,video_G_max,video_UV_max,structuredlight_G_100,structuredlight_G_40,structuredlight_UV_100,structuredlight_UV_33
Date,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015
Time,12:40pm,12:41pm,12:43pm,12:44pm,12:48pm,12:48pm,12:40pm,12:41pm,12:43pm,12:44pm,12:48pm,12:48pm
T_int [ms],5060,5932,3613,7193,4712,14365,5060,5932,3613,7193,4712,14365
396 nm,0.00000E+00,5.03100E-07,1.19178E-06,5.31447E-07,7.61260E-07,9.61017E-07,0.00000E+00,5.03100E-07,1.19178E-06,5.31447E-07,7.61260E-07,9.61017E-07
397 nm,0.00000E+00,4.18443E-07,1.37419E-06,1.05038E-07,8.85310E-07,3.04364E-07,0.00000E+00,4.18443E-07,1.37419E-06,1.05038E-07,8.85310E-07,3.04364E-07
398 nm,6.59831E-07,4.69422E-07,1.67731E-07,2.91477E-07,1.02613E-06,3.60176E-07,6.59831E-07,4.69422E-07,1.67731E-07,2.91477E-07,1.02613E-06,3.60176E-07
399 nm,7.75592E-07,7.26588E-07,6.48500E-07,3.79624E-07,1.78677E-07,4.07832E-07,7.75592E-07,7.26588E-07,6.48500E-07,3.79624E-07,1.78677E-07,4.07832E-07
400 nm,6.20116E-07,5.51392E-07,1.28027E-06,1.44755E-08,3.74471E-07,1.00613E-07,6.20116E-07,5.51392E-07,1.28027E-06,1.44755E-08,3.74471E-07,1.00613E-07
401 nm,1.01425E-06,7.19146E-07,6.28891E-07,9.06455E-07,3.92083E-07,2.55304E-08,1.01425E-06,7.19146E-07,6.28891E-07,9.06455E-07,3.92083E-07,2.55304E-08
402 nm,5.42742E-07,4.66180E-07,1.11185E-06,5.90077E-07,8.80563E-07,1.45590E-07,5.42742E-07,4.66180E-07,1.11185E-06,5.90077E-07,8.80563E-07,1.45590E-07
403 nm,3.19155E-07,7.61391E-07,0.00000E+00,2.89403E-07,3.30334E-07,2.88606E-07,3.19155E-07,7.61391E-07,0.00000E+00,2.89403E-07,3.30334E-07,2.88606E-07
404 nm,7.25885E-07,1.63660E-07,1.60992E-06,7.09155E-07,2.05214E-07,6.37804E-07,7.25885E-07,1.63660E-07,1.60992E-06,7.09155E-07,2.05214E-07,6.37804E-07
405 nm,3.25411E-07,2.94476E-07,1.95603E-06,1.28928E-07,4.21682E-07,4.68758E-07,3.25411E-07,2.94476E-07,1.95603E-06,1.28928E-07,4.21682E-07,4.68758E-07
406 nm,1.87614E-06,3.17142E-08,1.63939E-06,8.64743E-07,3.87945E-07,3.97761E-08,1.87614E-06,3.17142E-08,1.63939E-06,8.64743E-07,3.87945E-07,3.97761E-08
