,,,,
,,,,
,,,,
Name,BG_staticGird_StructuredLight_100_afterMirror,BG_staticGird_StructuredLight_100_offDome,BG_staticGird_StructuredLight_100_beforeMirror,BG_staticGird_StructuredLight_100_afterMirror
552 nm,2.91687E-05,2.82548E-05,4.08598E-03,2.91687E-05
553 nm,2.86414E-05,2.80751E-05,4.03707E-03,2.86414E-05
554 nm,2.87674E-05,2.82489E-05,4.08624E-03,2.87674E-05
555 nm,2.87079E-05,2.78341E-05,4.15200E-03,2.87079E-05
556 nm,2.86341E-05,2.78986E-05,4.09668E-03,2.86341E-05
557 nm,2.85434E-05,2.76024E-05,4.06196E-03,2.85434E-05
558 nm,2.86693E-05,2.81613E-05,4.06473E-03,2.86693E-05
559 nm,2.86427E-05,2.79867E-05,4.08836E-03,2.86427E-05
560 nm,2.86499E-05,2.77120E-05,4.08282E-03,2.86499E-05
561 nm,2.83986E-05,2.79286E-05,4.07255E-03,2.83986E-05
562 nm,2.85194E-05,2.79479E-05,4.06772E-03,2.85194E-05
563 nm,2.87197E-05,2.77719E-05,4.10702E-03,2.87197E-05
564 nm,2.81704E-05,2.74170E-05,4.05597E-03,2.81704E-05
565 nm,2.80676E-05,2.74875E-05,4.04293E-03,2.80676E-05
566 nm,2.80278E-05,2.73609E-05,4.05010E-03,2.80278E-05
567 nm,2.77638E-05,2.70765E-05,4.06561E-03,2.77638E-05
568 nm,2.76910E-05,2.72067E-05,4.03931E-03,2.76910E-05
569 nm,2.79568E-05,2.71653E-05,4.05831E-03,2.79568E-05
570 nm,2.79240E-05,2.73233E-05,4.02743E-03,2.79240E-05
571 nm,2.74544E-05,2.72626E-05,4.07137E-03,2.74544E-05
572 nm,2.76093E-05,2.68555E-05,4.05651E-03,2.76093E-05
573 nm,2.75227E-05,2.67984E-05,3.99527E-03,2.75227E-05
574 nm,2.71428E-05,2.64755E-05,4.07918E-03,2.71428E-05
575 nm,2.71150E-05,2.64895E-05,4.03687E-03,2.71150E-05
576 nm,2.70760E-05,2.67118E-05,3.99368E-03,2.70760E-05
577 nm,2.69421E-05,2.59213E-05,4.02020E-03,2.69421E-05
578 nm,2.71164E-05,2.57950E-05,4.00014E-03,2.71164E-05
579 nm,2.70022E-05,2.61356E-05,3.98313E-03,2.70022E-05
580 nm,2.65482E-05,2.58277E-05,4.01222E-03,2.65482E-05
581 nm,2.62507E-05,2.53285E-05,3.95291E-03,2.62507E-05
582 nm,2.59460E-05,2.51409E-05,3.92669E-03,2.59460E-05
583 nm,2.62446E-05,2.47817E-05,3.91581E-03,2.62446E-05
584 nm,2.62184E-05,2.50749E-05,3.91726E-03,2.62184E-05
585 nm,2.61957E-05,2.44844E-05,3.89983E-03,2.61957E-05
586 nm,2.58398E-05,2.45458E-05,3.84169E-03,2.58398E-05
587 nm,2.55160E-05,2.40030E-05,3.80925E-03,2.55160E-05
588 nm,2.55749E-05,2.36127E-05,3.74486E-03,2.55749E-05
589 nm,2.48261E-05,2.33589E-05,3.75354E-03,2.48261E-05
590 nm,2.46168E-05,2.32638E-05,3.73854E-03,2.46168E-05
591 nm,2.50014E-05,2.29850E-05,3.67737E-03,2.50014E-05
592 nm,2.50853E-05,2.31908E-05,3.62514E-03,2.50853E-05
593 nm,2.46229E-05,2.29876E-05,3.63567E-03,2.46229E-05
594 nm,2.38211E-05,2.27928E-05,3.63355E-03,2.38211E-05
595 nm,2.40535E-05,2.22770E-05,3.50729E-03,2.40535E-05
596 nm,2.39474E-05,2.19689E-05,3.55213E-03,2.39474E-05
597 nm,2.34585E-05,2.16624E-05,3.47396E-03,2.34585E-05
598 nm,2.32463E-05,2.15553E-05,3.43082E-03,2.32463E-05
599 nm,2.31790E-05,2.15234E-05,3.39868E-03,2.31790E-05
600 nm,2.25016E-05,2.06827E-05,3.36072E-03,2.25016E-05
601 nm,2.24396E-05,2.06507E-05,3.30854E-03,2.24396E-05
602 nm,2.22128E-05,2.06067E-05,3.29546E-03,2.22128E-05
603 nm,2.17191E-05,2.02506E-05,3.27293E-03,2.17191E-05
604 nm,2.19329E-05,1.99810E-05,3.21839E-03,2.19329E-05
605 nm,2.13288E-05,1.94210E-05,3.14990E-03,2.13288E-05
606 nm,2.11614E-05,1.90376E-05,3.15359E-03,2.11614E-05
607 nm,2.05339E-05,1.89607E-05,3.05520E-03,2.05339E-05
608 nm,2.04605E-05,1.87097E-05,3.04973E-03,2.04605E-05
609 nm,2.01585E-05,1.86447E-05,3.00764E-03,2.01585E-05
610 nm,1.98407E-05,1.81243E-05,2.95003E-03,1.98407E-05
611 nm,1.99253E-05,1.78352E-05,2.90230E-03,1.99253E-05
612 nm,1.89909E-05,1.75086E-05,2.82621E-03,1.89909E-05
613 nm,1.87053E-05,1.71906E-05,2.79595E-03,1.87053E-05
614 nm,1.87679E-05,1.69021E-05,2.79026E-03,1.87679E-05
615 nm,1.81240E-05,1.68347E-05,2.73592E-03,1.81240E-05
616 nm,1.82512E-05,1.63741E-05,2.63412E-03,1.82512E-05
617 nm,1.76285E-05,1.59959E-05,2.55755E-03,1.76285E-05
618 nm,1.77306E-05,1.60253E-05,2.57592E-03,1.77306E-05
619 nm,1.72071E-05,1.55575E-05,2.51108E-03,1.72071E-05
620 nm,1.69401E-05,1.48596E-05,2.45913E-03,1.69401E-05
621 nm,1.62421E-05,1.47336E-05,2.39588E-03,1.62421E-05
622 nm,1.61371E-05,1.43207E-05,2.36839E-03,1.61371E-05
623 nm,1.57494E-05,1.42322E-05,2.27972E-03,1.57494E-05
