Name,dark,BG_100,BG_90,BG_80,BG_70,BG_60,BG_50,BG_40,BG_30,BG_10,BG_20,BG_0
388 nm,9.20E-11,8.71E-06,6.85E-06,6.62E-06,5.79E-06,4.40E-06,4.02E-06,2.87E-06,2.07E-06,1.02E-06,1.82E-06,2.93E-07
389 nm,9.01E-11,5.78E-06,5.90E-06,4.96E-06,4.24E-06,3.94E-06,2.82E-06,2.38E-06,1.79E-06,5.56E-07,1.62E-06,3.07E-07
390 nm,8.75E-11,4.38E-06,4.26E-06,3.10E-06,2.74E-06,2.81E-06,2.66E-06,2.33E-06,1.50E-06,4.60E-07,1.42E-06,4.31E-07
391 nm,8.63E-11,3.60E-06,2.79E-06,2.85E-06,2.47E-06,2.59E-06,1.64E-06,1.59E-06,1.56E-06,5.00E-07,9.88E-07,1.80E-07
392 nm,8.49E-11,2.38E-06,3.34E-06,2.46E-06,1.22E-06,1.94E-06,2.22E-06,8.73E-07,1.08E-06,4.06E-07,8.88E-07,2.47E-08
393 nm,8.29E-11,2.11E-06,1.53E-06,1.17E-06,1.44E-06,1.46E-06,1.07E-06,9.81E-07,6.97E-07,2.70E-07,1.65E-07,6.63E-08
394 nm,8.04E-11,1.77E-06,9.61E-07,1.70E-06,1.83E-07,1.09E-06,1.04E-06,9.67E-07,2.93E-07,2.37E-07,4.32E-07,0.00E+00
395 nm,7.95E-11,1.37E-06,1.39E-06,1.88E-06,8.43E-07,3.74E-07,1.09E-06,6.08E-07,1.67E-07,1.74E-07,8.30E-07,2.51E-11
396 nm,7.82E-11,1.44E-06,3.85E-07,9.86E-07,7.91E-07,9.84E-07,3.52E-07,1.12E-07,6.14E-07,3.69E-07,0.00E+00,0.00E+00
397 nm,7.73E-11,1.58E-06,5.21E-07,1.15E-06,1.33E-06,1.04E-06,4.94E-07,4.71E-07,4.24E-07,1.77E-08,4.89E-07,4.97E-08
398 nm,7.65E-11,1.98E-06,1.41E-06,1.45E-06,6.12E-07,8.06E-07,4.17E-07,4.90E-07,8.23E-07,2.65E-07,5.24E-07,2.04E-07
399 nm,7.59E-11,9.98E-07,9.55E-08,1.40E-06,7.52E-07,1.44E-07,5.82E-07,4.05E-07,4.61E-07,2.54E-08,1.72E-07,1.73E-08
400 nm,7.48E-11,1.38E-06,1.20E-06,7.55E-07,6.81E-07,7.88E-07,1.46E-07,6.92E-07,1.79E-07,4.69E-07,6.35E-08,9.12E-08
