,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,green_10,green_20,green_30,green_40,green_50,green_60,green_70,green_80,green_90,green_100
Date,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015
Time,11:31am,11:32am,11:32am,11:32am,11:32am,11:33am,11:33am,11:33am,11:33am,11:33am
T_int [ms],6817,3891,2676,2116,1689,1481,1280,1000,1000,920
424 nm,7.10875E-08,1.25551E-07,0.00000E+00,8.82008E-07,4.69477E-07,3.97624E-08,9.91038E-07,8.33503E-07,4.98453E-07,2.53947E-07
425 nm,1.79331E-08,5.43543E-07,2.38312E-07,2.66428E-08,0.00000E+00,0.00000E+00,2.79708E-07,1.00702E-06,9.78309E-07,0.00000E+00
426 nm,1.16817E-08,2.91666E-07,4.89640E-08,0.00000E+00,0.00000E+00,8.57648E-08,0.00000E+00,0.00000E+00,0.00000E+00,9.48994E-07
427 nm,1.24668E-09,4.56846E-07,1.86008E-08,5.28378E-07,8.27637E-07,3.73197E-07,1.09998E-09,6.19134E-07,1.45679E-06,0.00000E+00
428 nm,2.51019E-07,4.73324E-07,3.33693E-07,3.59124E-07,8.98976E-07,1.22239E-07,3.51797E-09,4.45778E-07,1.55747E-06,2.11147E-07
429 nm,4.96717E-07,0.00000E+00,1.13910E-07,2.69064E-08,2.68044E-07,5.73655E-07,0.00000E+00,1.81761E-07,7.08953E-07,8.86582E-08
430 nm,1.63460E-07,8.10009E-08,1.70241E-07,7.31916E-08,4.33833E-07,2.75083E-07,1.22186E-08,2.98575E-07,0.00000E+00,2.85825E-07
431 nm,0.00000E+00,0.00000E+00,7.17327E-08,1.01187E-08,1.51127E-07,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,2.22723E-06
432 nm,1.89262E-07,5.62520E-07,4.02377E-07,0.00000E+00,0.00000E+00,4.94292E-07,5.13627E-07,9.95958E-07,1.45501E-06,5.47127E-07
433 nm,1.41595E-07,5.71050E-07,0.00000E+00,7.21729E-07,0.00000E+00,1.85992E-07,8.93779E-07,0.00000E+00,0.00000E+00,1.33988E-07
434 nm,0.00000E+00,3.81622E-08,1.48124E-08,1.52538E-07,1.01615E-07,1.50587E-06,4.84263E-07,1.82006E-07,3.78084E-07,6.90089E-07
435 nm,4.76887E-08,1.23238E-07,0.00000E+00,4.27484E-07,3.35191E-07,6.08041E-08,4.76434E-07,7.97366E-08,3.61733E-07,2.21531E-07
436 nm,0.00000E+00,1.28307E-07,2.12231E-08,1.28364E-07,0.00000E+00,1.03832E-06,0.00000E+00,7.39895E-07,0.00000E+00,0.00000E+00
437 nm,1.30271E-07,3.42926E-07,0.00000E+00,0.00000E+00,7.88244E-07,3.67875E-07,4.22552E-07,8.19011E-07,9.00240E-09,4.43789E-07
438 nm,1.21572E-08,0.00000E+00,9.81643E-07,0.00000E+00,3.94459E-07,9.05870E-08,6.84778E-07,3.31899E-07,1.34566E-07,2.75579E-07
439 nm,1.16316E-07,3.70959E-07,6.11712E-07,7.88905E-08,0.00000E+00,4.52920E-07,8.25665E-07,0.00000E+00,4.71669E-07,6.57747E-07
440 nm,0.00000E+00,7.04066E-07,0.00000E+00,0.00000E+00,9.74389E-09,0.00000E+00,6.18134E-07,9.58605E-09,5.37014E-07,5.53132E-07
441 nm,0.00000E+00,4.13346E-07,4.41064E-07,8.80163E-07,5.25234E-10,8.07193E-07,3.61364E-07,1.05034E-09,2.08176E-07,1.16345E-07
442 nm,4.25962E-07,5.48557E-07,4.02398E-10,3.08086E-07,3.87672E-10,5.94791E-08,9.96095E-07,1.55936E-09,2.61202E-07,1.75300E-06
443 nm,2.89325E-09,1.38204E-07,6.63750E-07,1.80710E-07,0.00000E+00,1.58366E-07,2.66684E-07,3.33104E-07,1.39184E-07,1.59189E-06
444 nm,5.24013E-08,0.00000E+00,2.06166E-07,8.51304E-07,1.43739E-07,3.59629E-07,9.97536E-07,1.34062E-06,1.24239E-06,6.70873E-07
445 nm,0.00000E+00,2.14955E-07,0.00000E+00,3.85889E-07,1.22044E-06,1.86865E-07,1.46507E-06,4.94481E-07,3.31902E-07,3.67747E-07
446 nm,0.00000E+00,7.26617E-07,2.12537E-07,9.12833E-07,6.15624E-07,6.40556E-07,1.89015E-06,1.46905E-07,1.65201E-06,1.59065E-06
447 nm,1.70671E-07,5.45962E-07,1.09964E-08,9.14331E-07,5.19809E-08,3.59495E-07,1.92663E-06,1.95922E-08,9.17472E-08,5.76503E-08
448 nm,4.91636E-08,0.00000E+00,0.00000E+00,0.00000E+00,5.70130E-07,1.71649E-08,7.82605E-07,5.12789E-08,2.23219E-07,1.23543E-06
449 nm,5.18174E-07,0.00000E+00,1.02910E-07,9.99053E-08,1.23833E-06,4.99533E-07,1.59520E-07,8.19028E-07,1.19490E-06,7.42954E-07
450 nm,2.36551E-07,4.72725E-07,7.52381E-08,6.85113E-07,1.50874E-06,2.49029E-07,1.99347E-07,2.89094E-07,7.34404E-07,8.50335E-07
451 nm,4.99944E-08,1.35892E-07,7.15184E-07,1.46303E-07,2.12219E-07,0.00000E+00,8.44023E-07,8.75078E-07,7.07740E-07,1.10319E-06
452 nm,0.00000E+00,6.32024E-07,5.98084E-07,3.04115E-07,1.93844E-06,0.00000E+00,1.15310E-06,1.00729E-07,2.80160E-07,1.42584E-06
453 nm,1.25182E-07,6.32639E-07,3.61139E-08,1.09165E-07,1.00935E-06,1.12458E-06,8.29773E-07,1.08165E-07,4.21943E-07,5.81232E-07
454 nm,1.22784E-07,1.79324E-07,5.40898E-07,5.39668E-07,3.65558E-07,9.60642E-07,1.27046E-06,9.39276E-07,4.84042E-07,8.57890E-07
455 nm,3.36669E-07,6.18853E-07,1.45057E-07,9.55992E-07,5.41190E-07,1.29316E-06,1.92239E-06,1.03754E-06,8.46861E-07,1.19291E-06
456 nm,4.44076E-07,9.11312E-07,0.00000E+00,8.74873E-07,6.29981E-07,2.38572E-07,9.28442E-07,1.96744E-06,5.84860E-07,2.02919E-06
457 nm,6.60061E-07,5.12042E-07,7.71390E-07,1.44454E-06,7.48554E-07,7.76617E-07,1.07528E-06,4.23800E-07,6.89918E-07,1.91316E-07
458 nm,1.02487E-07,7.23194E-07,9.50592E-07,1.30930E-06,1.40688E-06,1.16186E-06,2.16775E-06,1.51261E-06,1.70700E-06,1.75105E-06
459 nm,2.48324E-07,6.85953E-07,7.15545E-07,1.36927E-06,1.53993E-06,1.26946E-06,6.16298E-07,6.51164E-07,2.17207E-06,1.91892E-06
460 nm,5.32080E-07,6.24520E-07,1.26108E-06,1.02798E-06,1.06704E-06,1.77420E-06,7.68268E-07,1.22803E-06,2.25670E-06,1.99722E-06
461 nm,8.05825E-07,9.44585E-07,1.13242E-06,1.13925E-06,1.16639E-06,1.73664E-06,1.86399E-06,1.99824E-06,2.74167E-06,2.65412E-06
462 nm,7.39326E-07,7.86972E-07,1.26230E-06,1.06817E-06,1.24222E-06,1.16686E-06,1.69713E-06,2.90610E-06,3.75441E-06,2.54893E-06
463 nm,7.23650E-07,1.23736E-06,1.81620E-06,1.70618E-06,2.61911E-06,2.60707E-06,2.74654E-06,2.57153E-06,2.50114E-06,2.86587E-06
464 nm,6.43529E-07,7.87553E-07,1.97740E-06,1.44516E-06,2.29990E-06,1.73345E-06,2.60508E-06,2.27769E-06,3.45089E-06,4.16486E-06
465 nm,1.23122E-06,1.73513E-06,1.35568E-06,2.15385E-06,2.36452E-06,2.78700E-06,2.59871E-06,2.96775E-06,2.95759E-06,3.48682E-06
466 nm,1.00316E-06,1.65817E-06,1.98060E-06,1.92343E-06,2.25747E-06,2.42927E-06,2.52847E-06,3.01792E-06,3.81866E-06,4.60533E-06
