,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Name,uv_0,uv_10,uv_20,uv_30,uv_40,uv_50,uv_60,uv_70,uv_80,uv_90,uv_100
Date,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015
Time,11:43am,11:43am,11:43am,11:43am,11:44am,11:44am,11:44am,11:44am,11:44am,11:44am,11:45am
T_int [ms],1570,1550,1573,1000,904,727,637,543,472,430,395
432 nm,9.65493E-09,8.41469E-07,1.46790E-08,1.01638E-06,1.47655E-06,1.87636E-06,1.74056E-06,2.90658E-06,1.71219E-06,2.01249E-06,3.24306E-06
433 nm,2.20235E-07,4.26905E-07,6.87546E-07,6.68318E-07,1.61213E-06,1.26038E-06,2.35780E-06,3.15479E-06,3.35108E-06,2.70678E-06,3.92037E-06
434 nm,7.59930E-07,0.00000E+00,8.01906E-07,1.99517E-06,1.34834E-06,1.02913E-06,2.53798E-06,1.05659E-06,9.43508E-07,3.66286E-06,1.64170E-07
435 nm,1.85546E-07,0.00000E+00,5.93692E-07,1.63859E-06,1.18569E-06,1.91320E-06,2.03764E-06,2.64504E-06,3.97640E-06,2.54823E-06,5.96990E-06
436 nm,1.11675E-07,2.91954E-07,1.12494E-06,8.61443E-07,9.09788E-07,2.40293E-06,1.65839E-06,3.32702E-06,1.32376E-06,3.15091E-06,2.42213E-06
437 nm,2.88722E-07,1.28057E-08,2.92044E-08,6.04126E-07,7.34548E-07,8.93835E-07,2.56078E-06,2.69788E-06,7.95886E-07,4.57137E-06,2.62172E-06
438 nm,6.86431E-07,4.69165E-07,2.21826E-07,5.42802E-07,1.19991E-06,2.47613E-06,1.92771E-06,1.40532E-06,3.17721E-06,2.18459E-06,3.36752E-06
439 nm,0.00000E+00,1.06098E-06,1.20218E-06,1.66476E-06,1.61204E-06,1.96188E-07,1.79537E-06,1.47899E-06,2.41519E-06,3.87626E-06,2.82741E-06
440 nm,0.00000E+00,0.00000E+00,5.19634E-07,8.48132E-07,1.36920E-06,1.41631E-06,2.50566E-06,2.28804E-06,2.57355E-06,4.32427E-06,2.70274E-06
441 nm,5.63498E-07,1.55021E-06,3.98597E-07,1.31195E-06,1.33464E-06,1.46419E-06,2.67673E-06,1.35022E-06,1.74897E-06,3.15270E-06,2.29698E-06
442 nm,7.13712E-08,6.85419E-08,0.00000E+00,1.39713E-06,1.38164E-06,1.94046E-06,1.96889E-06,1.30938E-06,2.12169E-06,4.21497E-06,2.37863E-06
443 nm,0.00000E+00,2.11107E-07,1.74675E-06,1.55346E-06,1.51757E-06,5.63848E-07,2.80706E-06,2.85228E-06,6.31911E-07,5.47437E-06,2.04920E-06
444 nm,3.15054E-07,2.44523E-07,0.00000E+00,1.05023E-06,1.21097E-06,3.65461E-07,1.11374E-06,2.96582E-06,2.51462E-06,1.67394E-06,3.56143E-06
445 nm,1.00722E-06,2.58782E-07,1.02494E-06,1.85814E-06,7.80927E-07,0.00000E+00,2.45403E-06,3.78324E-06,2.31086E-06,4.20191E-06,2.30238E-06
446 nm,5.67920E-07,0.00000E+00,4.24374E-07,5.35576E-07,1.85082E-06,2.48359E-06,1.82658E-06,3.10105E-06,2.28280E-06,3.65649E-06,5.46054E-08
447 nm,1.57440E-08,1.48250E-06,0.00000E+00,1.68577E-06,9.85728E-07,9.01460E-07,6.22938E-07,1.06660E-06,2.92001E-06,2.43191E-06,2.30152E-06
448 nm,6.28930E-09,1.06073E-06,1.11194E-06,7.71030E-08,1.62299E-06,1.12127E-06,2.68969E-06,1.87644E-06,2.68733E-06,1.95685E-06,1.30132E-06
449 nm,1.91365E-08,7.06973E-07,1.51985E-07,1.24593E-06,1.16659E-06,6.58107E-07,3.12051E-06,2.11001E-06,3.11119E-06,2.97356E-06,4.82541E-06
450 nm,0.00000E+00,1.66748E-06,6.29408E-07,1.16183E-06,9.11622E-07,7.47157E-07,3.39104E-06,1.37896E-06,2.11771E-06,2.20357E-06,2.13312E-06
451 nm,7.22545E-07,3.29931E-07,1.36958E-07,2.39466E-06,2.48244E-06,1.61214E-06,1.51764E-06,9.56621E-07,2.79809E-06,1.82160E-06,3.40120E-06
452 nm,4.11136E-08,2.79461E-07,1.15980E-06,4.10774E-07,9.96368E-07,8.14235E-07,1.13305E-06,9.51363E-07,2.61466E-06,2.43624E-06,2.09796E-06
453 nm,0.00000E+00,5.96232E-07,5.34539E-07,7.94326E-07,2.24249E-06,1.87510E-06,2.57977E-06,2.74923E-06,4.69339E-07,3.52907E-06,1.92989E-06
454 nm,2.68655E-07,8.02769E-07,1.20235E-07,1.09303E-06,1.38665E-07,1.10113E-06,1.54334E-06,3.69581E-06,2.15429E-06,2.85191E-06,1.42000E-06
455 nm,1.53729E-06,9.95355E-07,4.70396E-07,8.79672E-07,1.20643E-06,2.25694E-07,2.16558E-06,1.29997E-06,2.25394E-06,2.82470E-06,2.52099E-06
456 nm,4.48679E-07,1.14466E-07,1.63401E-06,7.37843E-08,1.61942E-06,1.46965E-06,1.67264E-06,2.55932E-06,4.64742E-07,2.37097E-06,1.07868E-06
457 nm,6.65672E-07,0.00000E+00,4.37216E-09,1.13850E-06,5.65715E-07,1.10250E-06,1.65703E-06,1.46961E-06,2.68665E-06,2.08238E-06,2.53798E-06
458 nm,3.78699E-08,4.92959E-07,1.44903E-06,9.28561E-07,1.82193E-06,1.42679E-06,1.54880E-06,1.73346E-06,2.55426E-06,1.71225E-06,2.32530E-06
459 nm,6.88976E-07,4.82450E-07,0.00000E+00,1.63696E-06,9.25942E-07,1.40665E-06,1.16333E-06,2.21306E-06,1.28203E-06,2.39716E-06,3.29452E-06
460 nm,7.07528E-07,6.39447E-07,4.43177E-07,1.03509E-06,8.14409E-07,2.13088E-06,1.23441E-06,2.45339E-06,3.15914E-07,2.45563E-06,2.25320E-06
461 nm,1.37148E-06,1.05231E-06,1.44119E-06,2.68248E-06,1.57267E-06,1.08588E-06,7.25760E-07,1.80395E-06,1.82473E-06,2.45976E-06,2.00679E-06
462 nm,5.73168E-07,2.13488E-08,1.40376E-06,1.44648E-06,2.08827E-06,3.83650E-07,0.00000E+00,1.32093E-06,1.85316E-06,3.05552E-06,2.74244E-06
463 nm,3.63984E-07,2.42719E-06,1.97783E-07,3.46468E-07,2.55387E-07,1.31478E-06,2.28080E-06,2.04383E-06,2.55874E-06,3.81259E-06,2.79306E-06
464 nm,1.12366E-06,3.29628E-07,6.18807E-07,1.71266E-06,1.55647E-06,2.46284E-08,1.77996E-06,1.51306E-06,3.11115E-06,3.45647E-06,2.79978E-06
465 nm,1.18946E-06,1.99794E-06,8.13951E-07,1.15327E-06,1.13742E-06,6.41452E-07,1.81616E-06,1.50596E-06,2.27229E-06,2.53441E-06,1.04723E-06
466 nm,5.73111E-07,1.32740E-06,1.08526E-06,1.63599E-06,1.29784E-06,2.76903E-06,2.48606E-06,6.88689E-07,4.33161E-07,9.50527E-07,2.41392E-06
467 nm,1.03914E-06,0.00000E+00,1.06326E-06,1.16453E-06,1.86120E-06,2.24634E-06,1.86559E-06,5.75203E-07,3.35406E-06,2.31091E-06,3.33795E-06
468 nm,9.95083E-07,5.71416E-07,2.10168E-06,1.28127E-06,9.50930E-07,1.61666E-06,2.48016E-06,1.61756E-06,9.99420E-07,2.12079E-06,9.11288E-07
469 nm,2.18835E-06,6.73286E-07,1.27679E-06,2.19217E-07,1.44814E-06,7.97312E-07,1.39037E-06,1.12758E-06,2.00028E-06,1.24545E-06,1.38977E-06
470 nm,7.38326E-07,8.88744E-07,1.43876E-07,8.51976E-07,1.66013E-06,1.48421E-07,2.32656E-06,1.20268E-06,2.75692E-06,2.36237E-06,1.68546E-06
471 nm,7.27149E-07,6.69438E-07,1.19269E-06,4.80742E-07,1.39677E-06,1.82617E-06,2.04541E-06,3.62397E-07,1.11836E-06,1.67349E-06,2.35581E-06
472 nm,8.52075E-07,6.86974E-07,9.09729E-07,1.85339E-06,1.94077E-07,1.30639E-06,1.27587E-06,1.34879E-06,2.85087E-06,2.31432E-06,1.72692E-06
473 nm,9.30990E-08,6.99981E-07,4.22975E-07,6.47287E-07,1.23674E-06,1.14156E-06,1.50699E-06,1.77208E-06,2.60111E-07,1.71192E-06,6.30851E-10
474 nm,5.95105E-07,2.63041E-08,1.01976E-06,1.60735E-06,1.04929E-06,1.29269E-06,1.28878E-06,2.49535E-06,1.73632E-06,3.27827E-06,2.97168E-06
475 nm,2.63319E-07,6.59016E-08,1.10535E-06,1.13626E-06,0.00000E+00,1.88232E-06,1.23863E-06,1.25980E-06,1.89157E-06,2.69125E-06,2.32697E-06
476 nm,0.00000E+00,5.83080E-07,1.03049E-06,1.50747E-06,1.42717E-06,2.27392E-06,1.71529E-06,2.28053E-06,8.80679E-07,2.25079E-06,2.07569E-06
477 nm,9.30527E-09,1.02930E-06,3.02431E-07,1.08210E-08,1.47001E-06,8.86680E-07,1.50687E-06,1.49276E-06,2.23032E-06,1.22271E-06,1.19476E-08
478 nm,1.36477E-07,4.64356E-07,7.57161E-08,1.43920E-07,9.16506E-07,5.82338E-07,1.36849E-06,1.37905E-06,0.00000E+00,1.69999E-06,1.90001E-06
479 nm,1.95749E-08,0.00000E+00,8.99168E-08,1.07718E-07,4.30059E-07,6.44743E-07,1.59459E-06,5.09693E-07,2.39630E-06,1.43713E-06,2.82679E-06
480 nm,0.00000E+00,3.89229E-07,1.28833E-06,6.80599E-07,6.82479E-07,0.00000E+00,1.55340E-06,1.48186E-06,2.07993E-06,2.75260E-07,2.41573E-06
481 nm,1.52430E-06,0.00000E+00,1.58109E-06,1.12645E-06,7.63193E-07,6.02769E-07,5.81058E-07,1.64277E-06,1.20549E-06,2.84600E-06,0.00000E+00
482 nm,5.34123E-07,1.38619E-06,5.75794E-07,1.65462E-06,1.40695E-06,6.91169E-08,1.41278E-06,1.08195E-06,2.22517E-06,1.93680E-06,2.37646E-06
483 nm,4.38079E-07,8.14677E-07,1.16644E-07,1.43437E-06,2.33031E-06,6.83554E-07,1.20812E-06,1.18870E-06,1.29351E-06,2.17489E-06,0.00000E+00
484 nm,0.00000E+00,6.51180E-07,1.28720E-07,9.42792E-07,6.64551E-07,5.73035E-07,5.16530E-07,7.17514E-07,1.46721E-06,2.78570E-06,6.44585E-07
485 nm,0.00000E+00,3.93955E-07,3.11549E-07,4.47526E-07,8.39631E-07,1.60740E-06,1.90267E-06,2.03570E-06,1.39018E-06,1.62280E-06,7.66940E-07
486 nm,7.10714E-07,6.75237E-07,6.33241E-07,7.20991E-08,6.24713E-07,6.54759E-07,8.40895E-07,1.44350E-06,2.73696E-07,1.28728E-06,0.00000E+00
487 nm,6.05216E-07,7.06847E-08,7.17025E-07,2.57363E-07,1.36302E-07,9.40504E-07,1.19604E-06,1.48182E-06,7.10421E-07,1.59720E-06,2.56793E-06
488 nm,1.57236E-07,4.18586E-07,7.37133E-07,1.31744E-06,5.01295E-07,5.00782E-07,6.17111E-07,1.32135E-06,2.35996E-06,6.07062E-07,9.56794E-07
489 nm,0.00000E+00,7.39130E-07,0.00000E+00,4.74154E-07,0.00000E+00,1.49554E-06,1.49280E-06,8.80728E-07,1.34246E-06,1.69414E-06,1.78722E-06
490 nm,1.68145E-07,0.00000E+00,8.78874E-07,1.18215E-07,7.74348E-07,2.01688E-07,1.30273E-06,9.69827E-07,5.69831E-07,6.58317E-07,1.73515E-06
491 nm,9.39098E-07,5.43278E-07,6.36706E-07,7.81040E-07,5.23714E-07,4.00509E-07,1.67602E-06,2.43009E-06,1.30448E-06,1.14080E-06,8.80665E-07
