,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Name,green_10,green_20,green_30,green_40,green_50,green_60,green_70,green_80,green_90,green_100,green_0
Date,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015
Time,11:36am,11:36am,11:36am,11:36am,11:37am,11:37am,11:37am,11:37am,11:37am,11:37am,11:40am
T_int [ms],6762,3906,2672,2064,1697,1483,1281,1000,1000,929,312
414 nm,1.45401E-07,5.02898E-07,1.08038E-06,3.60877E-07,7.26868E-07,5.60899E-07,0.00000E+00,2.66193E-07,6.27516E-08,3.04783E-07,7.09863E-07
415 nm,0.00000E+00,2.82373E-07,1.12026E-06,1.28371E-07,1.00849E-06,1.06171E-07,8.93424E-09,7.89870E-08,0.00000E+00,0.00000E+00,8.04620E-07
416 nm,4.38563E-07,3.60138E-08,5.33554E-08,0.00000E+00,3.50564E-08,1.43983E-07,0.00000E+00,1.25110E-06,6.93111E-07,4.22171E-07,1.95614E-06
417 nm,4.49783E-08,7.91766E-07,9.21011E-09,1.71763E-09,9.71830E-08,0.00000E+00,1.35531E-07,0.00000E+00,7.46163E-08,2.04497E-07,0.00000E+00
418 nm,3.80684E-07,2.83324E-08,1.65868E-07,8.60859E-09,1.31084E-07,1.88062E-07,0.00000E+00,2.23849E-07,2.02220E-06,6.48995E-07,9.83228E-07
419 nm,3.36166E-07,3.48934E-07,5.00830E-07,8.21259E-08,6.58619E-07,1.08552E-06,2.80583E-07,8.48823E-07,1.99764E-06,1.36984E-06,2.39331E-07
420 nm,0.00000E+00,0.00000E+00,7.46567E-07,2.84423E-07,2.02137E-07,1.02159E-07,7.60921E-07,3.89588E-07,6.31129E-07,5.52172E-07,9.16795E-09
421 nm,0.00000E+00,2.11955E-08,2.37998E-08,3.97952E-07,1.08826E-06,1.36593E-06,6.65135E-08,6.69880E-07,4.82946E-07,1.10258E-06,1.26805E-06
422 nm,5.61477E-07,2.42074E-08,5.77060E-07,5.81271E-07,2.25772E-07,1.26090E-06,0.00000E+00,3.95083E-07,1.39053E-07,1.47706E-06,0.00000E+00
423 nm,2.37244E-09,5.80629E-07,0.00000E+00,0.00000E+00,0.00000E+00,4.16443E-07,2.81406E-07,0.00000E+00,1.10752E-06,0.00000E+00,8.06512E-07
424 nm,1.82584E-07,1.04525E-07,2.97179E-08,9.69145E-08,1.91698E-07,8.48464E-07,7.73735E-07,4.01831E-08,1.24581E-07,4.33863E-08,3.94159E-07
425 nm,4.24657E-07,7.97389E-07,0.00000E+00,2.13435E-07,3.41490E-07,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,3.55378E-08
426 nm,4.12279E-08,3.43482E-07,2.31969E-07,2.63772E-08,6.03808E-07,0.00000E+00,5.49000E-07,8.73294E-07,8.19645E-07,1.97901E-07,8.45660E-07
427 nm,1.01240E-09,1.37774E-07,0.00000E+00,1.70696E-09,1.50128E-07,7.91628E-07,0.00000E+00,0.00000E+00,7.05945E-07,1.40640E-06,4.38871E-07
428 nm,3.46585E-08,3.05340E-07,1.66516E-07,0.00000E+00,2.98811E-07,2.86646E-07,1.84228E-07,8.24678E-07,0.00000E+00,0.00000E+00,0.00000E+00
429 nm,0.00000E+00,4.60578E-07,6.16917E-07,3.91196E-07,0.00000E+00,1.90944E-08,4.25859E-07,3.54517E-07,0.00000E+00,3.02182E-08,4.23598E-07
430 nm,7.57470E-08,1.81006E-07,0.00000E+00,4.54740E-07,1.28419E-07,7.33505E-07,0.00000E+00,2.14330E-07,6.18033E-07,0.00000E+00,6.11812E-07
431 nm,0.00000E+00,0.00000E+00,1.83530E-07,0.00000E+00,8.25765E-08,1.61677E-07,3.34763E-07,7.56886E-07,6.29905E-07,1.29204E-08,3.55021E-06
432 nm,6.61401E-07,2.40347E-07,8.62568E-07,2.05057E-09,3.08567E-07,0.00000E+00,1.08311E-07,9.03284E-07,9.28665E-09,0.00000E+00,4.03911E-08
433 nm,4.42522E-07,4.14680E-07,0.00000E+00,2.53869E-07,7.26914E-07,6.22347E-09,0.00000E+00,2.63336E-07,3.44138E-07,3.71082E-07,4.57025E-07
434 nm,1.00769E-08,0.00000E+00,3.46409E-08,5.54513E-07,8.43417E-07,0.00000E+00,2.40391E-08,6.96130E-09,1.96948E-06,8.95602E-08,2.93764E-07
435 nm,6.70333E-07,9.45350E-07,0.00000E+00,6.52191E-07,4.60452E-07,5.56507E-07,0.00000E+00,2.30015E-07,5.72167E-07,1.03560E-06,1.08500E-06
436 nm,4.78744E-07,3.23256E-07,2.84805E-07,1.46766E-07,2.49128E-07,1.80218E-07,8.05685E-07,6.50049E-07,9.46906E-07,1.15970E-07,1.04579E-06
437 nm,2.95253E-09,0.00000E+00,0.00000E+00,4.70416E-07,0.00000E+00,2.69305E-07,7.46323E-07,1.02274E-06,1.84267E-08,1.18964E-06,2.45973E-08
438 nm,1.11191E-07,2.71413E-07,6.34230E-07,2.35416E-07,7.71614E-07,6.18656E-07,0.00000E+00,3.42353E-07,3.81341E-07,0.00000E+00,1.34334E-07
439 nm,5.63148E-08,1.54849E-07,0.00000E+00,8.46762E-08,3.30034E-07,0.00000E+00,2.32324E-08,0.00000E+00,9.83612E-08,4.63158E-07,0.00000E+00
440 nm,4.74312E-07,3.82360E-07,5.52802E-07,6.83165E-07,4.40484E-07,3.59191E-07,0.00000E+00,0.00000E+00,3.44200E-07,3.76421E-07,8.66770E-09
441 nm,2.95729E-07,2.51851E-08,2.05686E-07,3.30953E-07,7.49725E-07,3.76346E-07,1.60063E-07,9.07952E-07,7.27550E-07,7.33950E-08,1.43399E-08
