,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Name,green_100,green_90,green_80,green_70,green_60,green_50,green_40,green_30,green_20,green_10,green_0,uv_100,uv_90,uv_80,uv_70,uv_60,UV_50,uv_40,uv_30,uv_20,uv_10,uv_0
Date,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015
Time,08:54am,08:54am,08:55am,08:57am,08:58am,08:59am,09:00am,09:01am,09:02am,09:04am,09:06am,09:08am,09:09am,09:09am,09:10am,09:11am,09:13am,09:14am,09:15am,09:17am,09:19am,09:20am
T_int [ms],4564,7968,8263,9653,10937,12166,14348,17708,21220,24683,28764,10105,11535,12819,14198,16307,19902,24007,26646,28978,29131,31228
355 nm,1.41162E-06,1.13483E-06,1.16468E-07,4.10547E-07,7.49605E-07,5.53726E-07,7.55314E-07,0.00000E+00,0.00000E+00,1.87142E-07,6.13616E-07,2.53108E-06,1.19979E-06,1.87951E-06,1.26506E-06,8.46671E-07,2.40946E-06,1.01616E-07,0.00000E+00,2.67677E-07,0.00000E+00,4.78561E-07
356 nm,0.00000E+00,2.05116E-06,0.00000E+00,0.00000E+00,1.34556E-07,0.00000E+00,9.24158E-07,1.52295E-06,1.19385E-06,1.79126E-06,0.00000E+00,2.35329E-06,2.77195E-06,2.35776E-06,1.15765E-06,7.47878E-07,1.67115E-07,1.10250E-06,2.27845E-06,1.16242E-06,1.16799E-06,4.04027E-07
357 nm,1.37164E-08,0.00000E+00,2.93108E-06,7.16180E-10,0.00000E+00,4.13060E-07,1.22027E-08,4.52771E-09,1.31430E-08,1.42085E-07,3.21509E-07,2.25155E-06,1.39521E-06,1.98131E-06,2.23760E-06,2.93052E-06,1.64729E-06,7.28567E-07,7.74346E-07,7.49179E-07,6.56024E-09,0.00000E+00
358 nm,1.38022E-07,1.65190E-06,6.44959E-07,0.00000E+00,1.68081E-06,2.59960E-07,3.09532E-07,1.19064E-06,7.08168E-07,2.83673E-08,6.39805E-08,5.76650E-06,3.23508E-06,3.71084E-06,1.99648E-06,2.20674E-06,1.70180E-06,1.80510E-06,1.30540E-06,5.37899E-07,1.67033E-06,5.92727E-07
359 nm,6.68561E-07,0.00000E+00,2.14650E-07,3.07864E-07,0.00000E+00,0.00000E+00,7.00425E-07,1.66518E-07,2.64175E-07,0.00000E+00,1.10124E-06,4.84808E-06,4.43363E-06,3.30657E-06,4.10560E-06,3.69700E-06,2.23427E-06,2.71198E-06,2.48026E-06,1.42374E-06,1.71306E-06,6.97333E-07
360 nm,0.00000E+00,1.16545E-06,8.46894E-07,7.66276E-07,0.00000E+00,7.59359E-07,0.00000E+00,2.84767E-07,0.00000E+00,2.37697E-07,9.71658E-07,7.62184E-06,6.74164E-06,5.61140E-06,4.87425E-06,4.49070E-06,4.03621E-06,2.79552E-06,2.18803E-06,1.80221E-06,1.21284E-06,4.21468E-07
361 nm,0.00000E+00,5.69446E-07,5.81070E-07,1.03923E-06,8.29754E-07,7.31783E-07,1.18393E-06,7.45568E-08,2.90235E-07,0.00000E+00,1.85379E-08,1.18463E-05,9.72152E-06,9.59864E-06,7.23593E-06,7.63615E-06,5.39878E-06,4.30901E-06,3.09369E-06,2.39792E-06,2.63050E-06,9.39030E-07
362 nm,1.06246E-06,3.13565E-07,3.15172E-07,6.83471E-07,2.17895E-07,0.00000E+00,1.98293E-08,3.25689E-08,5.97838E-07,1.08312E-06,6.41681E-07,1.77953E-05,1.50855E-05,1.22752E-05,1.10608E-05,9.26410E-06,8.80557E-06,6.95730E-06,5.86547E-06,3.59736E-06,2.54324E-06,6.04463E-07
363 nm,0.00000E+00,2.43797E-07,5.90994E-07,2.85618E-07,2.64603E-08,7.32674E-07,1.67366E-06,1.14923E-08,0.00000E+00,0.00000E+00,3.98749E-07,2.46341E-05,2.12643E-05,1.86079E-05,1.63482E-05,1.43920E-05,1.26259E-05,9.48625E-06,7.90752E-06,6.03278E-06,4.17651E-06,2.18209E-06
364 nm,6.76840E-08,5.85917E-08,0.00000E+00,6.19464E-07,7.61038E-07,0.00000E+00,0.00000E+00,4.98223E-07,7.30034E-08,7.47382E-07,4.99059E-07,3.40466E-05,2.93008E-05,2.45360E-05,2.26213E-05,1.94464E-05,1.57977E-05,1.35681E-05,1.03428E-05,7.83482E-06,4.39756E-06,2.28747E-06
365 nm,2.45828E-08,6.30787E-07,1.46552E-08,6.19197E-07,0.00000E+00,5.32013E-07,6.51626E-07,3.33742E-07,0.00000E+00,1.04286E-07,2.88380E-07,4.55274E-05,3.78253E-05,3.30236E-05,2.79869E-05,2.43780E-05,2.13074E-05,1.76574E-05,1.32465E-05,9.78912E-06,6.25515E-06,2.70871E-06
366 nm,6.86169E-07,2.49122E-07,1.93184E-07,7.76699E-07,1.22434E-06,3.48180E-07,3.35108E-07,2.67293E-08,1.88437E-07,3.23627E-07,5.26770E-07,5.77187E-05,4.88029E-05,4.33044E-05,3.78001E-05,3.21874E-05,2.78028E-05,2.21883E-05,1.73946E-05,1.28108E-05,7.30451E-06,3.43110E-06
367 nm,2.54887E-07,1.02822E-08,4.49934E-08,0.00000E+00,4.41775E-07,8.56412E-07,9.34720E-08,0.00000E+00,8.94240E-08,1.44250E-07,1.60808E-07,6.91762E-05,5.77795E-05,5.14667E-05,4.45160E-05,3.83422E-05,3.31583E-05,2.68907E-05,2.13681E-05,1.45006E-05,9.73354E-06,3.58784E-06
368 nm,0.00000E+00,4.50081E-09,8.33452E-07,5.31114E-09,0.00000E+00,6.61580E-08,2.41436E-07,2.89737E-07,0.00000E+00,0.00000E+00,0.00000E+00,8.16435E-05,6.90107E-05,6.14885E-05,5.38498E-05,4.58853E-05,3.87692E-05,3.22939E-05,2.51061E-05,1.82106E-05,1.12562E-05,3.94440E-06
369 nm,8.49058E-07,0.00000E+00,2.72922E-07,0.00000E+00,1.90085E-08,2.62966E-08,3.22251E-07,1.68142E-07,5.76069E-07,4.80779E-07,1.92585E-07,9.25114E-05,7.79673E-05,6.97254E-05,6.07356E-05,5.21902E-05,4.46493E-05,3.61798E-05,2.81190E-05,2.04677E-05,1.17662E-05,4.73646E-06
370 nm,9.25297E-07,5.90966E-08,0.00000E+00,1.09458E-07,1.84632E-07,2.70364E-08,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,9.20848E-05,8.02957E-05,7.01271E-05,6.12253E-05,5.35934E-05,4.52081E-05,3.70633E-05,2.82274E-05,1.98422E-05,1.19236E-05,4.32807E-06
371 nm,9.41041E-07,1.02049E-07,1.57000E-07,2.84487E-07,2.82473E-07,7.28927E-09,1.66390E-07,5.50051E-09,2.15237E-07,3.46332E-07,8.79201E-10,9.34262E-05,8.10300E-05,7.09488E-05,6.32121E-05,5.36147E-05,4.57714E-05,3.72875E-05,2.91823E-05,2.04973E-05,1.22185E-05,4.16972E-06
372 nm,0.00000E+00,4.66225E-08,9.66191E-08,0.00000E+00,1.58582E-07,0.00000E+00,2.40608E-07,0.00000E+00,1.63068E-07,2.23668E-07,3.36734E-08,8.94731E-05,7.69927E-05,6.82113E-05,5.95490E-05,5.13116E-05,4.31721E-05,3.61159E-05,2.80714E-05,1.95824E-05,1.13442E-05,3.40335E-06
373 nm,9.11684E-07,2.22242E-08,2.89369E-08,1.58536E-07,8.78575E-08,3.10418E-07,0.00000E+00,1.42202E-07,0.00000E+00,0.00000E+00,4.07693E-09,8.15324E-05,7.18348E-05,6.25290E-05,5.45905E-05,4.74111E-05,4.06609E-05,3.28155E-05,2.56957E-05,1.81761E-05,1.03546E-05,2.94572E-06
