,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Name,100,90,80,70,60,50,40,30,20,10,0,n10,n20,n30,n40,n50,n60,n70,n80,n90,n100
Date,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014
Time,11:42am,11:45am,11:46am,11:47am,11:47am,11:48am,11:49am,11:50am,11:50am,11:51am,11:51am,11:52am,11:52am,11:53am,11:54am,11:55am,11:55am,11:56am,11:57am,11:59am,12:00pm
T_int [ms],244,253,274,286,305,321,339,358,383,410,437,476,513,572,637,705,824,976,1000,1463,1974
420 nm,2.16378E-05,1.99485E-05,1.90933E-05,1.81265E-05,1.77693E-05,1.54515E-05,1.57788E-05,1.47006E-05,1.32216E-05,1.29224E-05,1.18090E-05,1.06165E-05,1.00263E-05,9.74761E-06,8.28534E-06,7.45633E-06,6.06535E-06,4.84962E-06,4.47492E-06,3.55018E-06,2.57466E-06
421 nm,2.35999E-05,2.22820E-05,2.09183E-05,2.06081E-05,1.99543E-05,1.87510E-05,1.83218E-05,1.57035E-05,1.47394E-05,1.42273E-05,1.40703E-05,1.25525E-05,1.11073E-05,1.01553E-05,9.89768E-06,8.38238E-06,6.84631E-06,5.91707E-06,5.50154E-06,3.91557E-06,2.54350E-06
422 nm,2.74520E-05,2.64879E-05,2.57785E-05,2.29224E-05,2.29085E-05,2.13150E-05,2.02003E-05,1.84532E-05,1.77236E-05,1.62271E-05,1.58556E-05,1.45182E-05,1.34701E-05,1.25672E-05,1.08695E-05,9.68148E-06,8.01410E-06,7.26715E-06,5.78492E-06,4.64549E-06,3.13773E-06
423 nm,3.14688E-05,3.04737E-05,2.95359E-05,2.80369E-05,2.59165E-05,2.49655E-05,2.37981E-05,2.18338E-05,2.06520E-05,1.86308E-05,1.84860E-05,1.72014E-05,1.51492E-05,1.41234E-05,1.29119E-05,1.13325E-05,9.62107E-06,8.12640E-06,7.17136E-06,5.65279E-06,4.20155E-06
424 nm,3.71289E-05,3.54182E-05,3.37886E-05,3.29300E-05,3.00563E-05,2.88157E-05,2.71168E-05,2.55757E-05,2.41719E-05,2.24403E-05,2.14322E-05,2.00182E-05,1.83543E-05,1.60538E-05,1.43480E-05,1.34098E-05,1.11030E-05,9.76014E-06,8.00329E-06,6.28666E-06,4.82294E-06
425 nm,4.46007E-05,4.20601E-05,3.95314E-05,3.83127E-05,3.51954E-05,3.37215E-05,3.25802E-05,3.03625E-05,2.80995E-05,2.66239E-05,2.52689E-05,2.36485E-05,2.13503E-05,1.85184E-05,1.70397E-05,1.49907E-05,1.32971E-05,1.15160E-05,9.60374E-06,7.03644E-06,5.45696E-06
426 nm,5.18147E-05,4.93495E-05,4.75237E-05,4.41051E-05,4.20606E-05,4.05764E-05,3.80325E-05,3.57789E-05,3.28607E-05,3.13257E-05,2.85310E-05,2.75198E-05,2.46194E-05,2.23704E-05,2.08432E-05,1.80064E-05,1.48615E-05,1.38754E-05,1.11692E-05,8.47660E-06,6.23580E-06
427 nm,6.06181E-05,5.83693E-05,5.65739E-05,5.26989E-05,4.96668E-05,4.66946E-05,4.46876E-05,4.10319E-05,3.95001E-05,3.61165E-05,3.47085E-05,3.16549E-05,2.95653E-05,2.57529E-05,2.36193E-05,2.13444E-05,1.81962E-05,1.59599E-05,1.30028E-05,9.87677E-06,7.29978E-06
428 nm,7.16561E-05,6.75109E-05,6.53114E-05,6.32729E-05,5.93011E-05,5.60859E-05,5.34306E-05,4.89175E-05,4.57144E-05,4.26054E-05,4.04664E-05,3.79426E-05,3.45090E-05,3.14207E-05,2.80139E-05,2.51055E-05,2.15953E-05,1.82554E-05,1.53003E-05,1.17047E-05,8.48963E-06
429 nm,8.42679E-05,8.20103E-05,7.76959E-05,7.27932E-05,6.97821E-05,6.59127E-05,6.15469E-05,5.86964E-05,5.35834E-05,5.09343E-05,4.82803E-05,4.48556E-05,4.08345E-05,3.68288E-05,3.31399E-05,2.94533E-05,2.54306E-05,2.20204E-05,1.81494E-05,1.40052E-05,1.00467E-05
430 nm,1.00844E-04,9.69079E-05,9.08023E-05,8.74488E-05,8.20020E-05,7.70111E-05,7.27723E-05,6.95732E-05,6.41576E-05,5.98402E-05,5.57870E-05,5.18293E-05,4.87101E-05,4.22709E-05,3.88042E-05,3.51602E-05,2.97384E-05,2.57711E-05,2.15255E-05,1.64925E-05,1.21695E-05
431 nm,1.18170E-04,1.12238E-04,1.07329E-04,1.02164E-04,9.65582E-05,9.20742E-05,8.69713E-05,8.10716E-05,7.56118E-05,7.06832E-05,6.68261E-05,6.17396E-05,5.63575E-05,5.06996E-05,4.59276E-05,4.02666E-05,3.52411E-05,3.01062E-05,2.53897E-05,1.95684E-05,1.43260E-05
432 nm,1.37630E-04,1.32590E-04,1.26058E-04,1.20493E-04,1.15630E-04,1.07137E-04,1.01426E-04,9.50961E-05,8.89415E-05,8.25227E-05,7.75902E-05,7.27293E-05,6.68758E-05,6.03220E-05,5.42185E-05,4.84739E-05,4.15528E-05,3.59146E-05,2.93818E-05,2.28558E-05,1.71306E-05
433 nm,1.64278E-04,1.56759E-04,1.48592E-04,1.42372E-04,1.34312E-04,1.27306E-04,1.21290E-04,1.12627E-04,1.04900E-04,9.80017E-05,9.34873E-05,8.59058E-05,7.88241E-05,7.10865E-05,6.41578E-05,5.62664E-05,4.82442E-05,4.20811E-05,3.50732E-05,2.66015E-05,1.97159E-05
434 nm,1.92403E-04,1.85903E-04,1.76030E-04,1.66823E-04,1.59059E-04,1.49703E-04,1.40006E-04,1.32540E-04,1.23432E-04,1.14880E-04,1.08038E-04,1.01027E-04,9.27351E-05,8.33596E-05,7.45764E-05,6.70690E-05,5.73027E-05,4.92789E-05,4.06254E-05,3.14221E-05,2.33431E-05
435 nm,2.26861E-04,2.17453E-04,2.06053E-04,1.96437E-04,1.86947E-04,1.75317E-04,1.65624E-04,1.54968E-04,1.44379E-04,1.35713E-04,1.27747E-04,1.18075E-04,1.08722E-04,9.63820E-05,8.76645E-05,7.81968E-05,6.78360E-05,5.77956E-05,4.82462E-05,3.67082E-05,2.71219E-05
436 nm,2.64975E-04,2.53005E-04,2.38148E-04,2.27164E-04,2.18023E-04,2.03391E-04,1.92379E-04,1.81367E-04,1.67851E-04,1.57622E-04,1.48860E-04,1.37812E-04,1.26328E-04,1.14396E-04,1.02085E-04,9.06768E-05,7.77351E-05,6.64858E-05,5.58396E-05,4.24432E-05,3.13192E-05
437 nm,3.07915E-04,2.93264E-04,2.79065E-04,2.67222E-04,2.53218E-04,2.37530E-04,2.21959E-04,2.09835E-04,1.96700E-04,1.81987E-04,1.73511E-04,1.60917E-04,1.46950E-04,1.31601E-04,1.18576E-04,1.05716E-04,9.10143E-05,7.75661E-05,6.44757E-05,4.98134E-05,3.70157E-05
